Datum,Supermarkt,Artikelnummer,Umsatz
2023-07-29,Supermarkt 7,A508436107,390.58
2023-07-29,Supermarkt 7,A494741731,106.66
2023-07-29,Supermarkt 7,A984047700,483.25
2023-07-29,Supermarkt 7,A686288763,512.49
2023-07-29,Supermarkt 7,A117653789,849.65
2023-07-29,Supermarkt 7,A876634416,715.6
2023-07-29,Supermarkt 7,A444070196,917.59
2023-07-29,Supermarkt 7,A267759769,883.36
2023-07-29,Supermarkt 7,A244182817,1030.41
2023-07-29,Supermarkt 7,A357205926,879.85
2023-07-29,Supermarkt 7,A799771723,478.7
2023-07-29,Supermarkt 7,A577908064,630.77
2023-07-29,Supermarkt 7,A901248058,1056.02
2023-07-29,Supermarkt 7,A502744906,149.1
2023-07-29,Supermarkt 7,A428175671,5.88
2023-07-29,Supermarkt 7,A401829730,481.37
2023-07-29,Supermarkt 7,A795990421,773.19
2023-07-29,Supermarkt 7,A842813962,858.53
2023-07-29,Supermarkt 7,A858280858,168.23
2023-07-29,Supermarkt 7,A057188345,162.34
2023-07-29,Supermarkt 7,A370844032,1072.73
2023-07-29,Supermarkt 7,A615548631,77.9
2023-07-29,Supermarkt 7,A788109666,762.23
2023-07-29,Supermarkt 7,A443834257,228.79
2023-07-29,Supermarkt 7,A070236562,71.69
2023-07-29,Supermarkt 7,A719609280,757.98
2023-07-29,Supermarkt 7,A760957598,366.32
2023-07-29,Supermarkt 7,A195934452,467.85
2023-07-29,Supermarkt 7,A431470276,902.32
2023-07-29,Supermarkt 7,A196351288,311.5
2023-07-29,Supermarkt 7,A440064773,90.97
2023-07-29,Supermarkt 7,A302066701,1184.75
2023-07-29,Supermarkt 7,A386205094,605.96
2023-07-29,Supermarkt 7,A441032075,690.26
2023-07-29,Supermarkt 7,A466815911,399.26
2023-07-29,Supermarkt 7,A406253066,250.53
2023-07-29,Supermarkt 7,A822483184,982.15
2023-07-29,Supermarkt 7,A484628109,664.2
2023-07-29,Supermarkt 7,A096319128,925.26
2023-07-29,Supermarkt 7,A309161420,104.3
2023-07-29,Supermarkt 7,A708079024,763.85
2023-07-29,Supermarkt 7,A915048649,550.73
2023-07-29,Supermarkt 7,A119739307,1084.56
2023-07-29,Supermarkt 7,A166076933,1003.68
2023-07-29,Supermarkt 7,A689793331,123.99
2023-07-29,Supermarkt 7,A968963374,248.43
2023-07-29,Supermarkt 7,A415633717,1030.53
2023-07-29,Supermarkt 7,A453190985,738.0
2023-07-29,Supermarkt 7,A389820286,825.13
2023-07-29,Supermarkt 7,A639180066,796.32
