Datum,Supermarkt,Artikelnummer,Umsatz
2023-07-29,Supermarkt 8,A508436107,599.95
2023-07-29,Supermarkt 8,A494741731,17.28
2023-07-29,Supermarkt 8,A984047700,872.94
2023-07-29,Supermarkt 8,A686288763,460.36
2023-07-29,Supermarkt 8,A117653789,879.04
2023-07-29,Supermarkt 8,A876634416,770.42
2023-07-29,Supermarkt 8,A444070196,157.84
2023-07-29,Supermarkt 8,A267759769,826.66
2023-07-29,Supermarkt 8,A244182817,381.58
2023-07-29,Supermarkt 8,A357205926,1056.16
2023-07-29,Supermarkt 8,A799771723,72.71
2023-07-29,Supermarkt 8,A577908064,1107.16
2023-07-29,Supermarkt 8,A901248058,182.86
2023-07-29,Supermarkt 8,A502744906,216.19
2023-07-29,Supermarkt 8,A428175671,900.49
2023-07-29,Supermarkt 8,A401829730,509.97
2023-07-29,Supermarkt 8,A795990421,143.76
2023-07-29,Supermarkt 8,A842813962,335.82
2023-07-29,Supermarkt 8,A858280858,1063.6
2023-07-29,Supermarkt 8,A057188345,948.52
2023-07-29,Supermarkt 8,A370844032,325.07
2023-07-29,Supermarkt 8,A615548631,481.12
2023-07-29,Supermarkt 8,A788109666,689.97
2023-07-29,Supermarkt 8,A443834257,537.95
2023-07-29,Supermarkt 8,A070236562,39.35
2023-07-29,Supermarkt 8,A719609280,275.01
2023-07-29,Supermarkt 8,A760957598,174.71
2023-07-29,Supermarkt 8,A195934452,593.11
2023-07-29,Supermarkt 8,A431470276,1037.96
2023-07-29,Supermarkt 8,A196351288,529.45
2023-07-29,Supermarkt 8,A440064773,1183.52
2023-07-29,Supermarkt 8,A302066701,56.39
2023-07-29,Supermarkt 8,A386205094,365.46
2023-07-29,Supermarkt 8,A441032075,18.01
2023-07-29,Supermarkt 8,A466815911,417.68
2023-07-29,Supermarkt 8,A406253066,748.75
2023-07-29,Supermarkt 8,A822483184,115.59
2023-07-29,Supermarkt 8,A484628109,556.08
2023-07-29,Supermarkt 8,A096319128,496.65
2023-07-29,Supermarkt 8,A309161420,890.88
2023-07-29,Supermarkt 8,A708079024,884.61
2023-07-29,Supermarkt 8,A915048649,322.32
2023-07-29,Supermarkt 8,A119739307,662.91
2023-07-29,Supermarkt 8,A166076933,654.87
2023-07-29,Supermarkt 8,A689793331,1045.03
2023-07-29,Supermarkt 8,A968963374,1073.4
2023-07-29,Supermarkt 8,A415633717,1081.49
2023-07-29,Supermarkt 8,A453190985,869.16
2023-07-29,Supermarkt 8,A389820286,155.03
2023-07-29,Supermarkt 8,A639180066,376.82
2023-07-29,Supermarkt 8,A774527541,991.1
2023-07-29,Supermarkt 8,A415352287,742.54
2023-07-29,Supermarkt 8,A391796759,1036.19
2023-07-29,Supermarkt 8,A249604557,321.3
2023-07-29,Supermarkt 8,A759796414,183.8
