Datum,Supermarkt,Artikelnummer,Umsatz
2023-07-29,Supermarkt 6,A508436107,60.78
2023-07-29,Supermarkt 6,A494741731,40.37
2023-07-29,Supermarkt 6,A984047700,659.16
2023-07-29,Supermarkt 6,A686288763,22.68
2023-07-29,Supermarkt 6,A117653789,442.51
2023-07-29,Supermarkt 6,A876634416,535.68
2023-07-29,Supermarkt 6,A444070196,478.47
2023-07-29,Supermarkt 6,A267759769,717.09
2023-07-29,Supermarkt 6,A244182817,1051.16
2023-07-29,Supermarkt 6,A357205926,334.02
2023-07-29,Supermarkt 6,A799771723,1063.46
2023-07-29,Supermarkt 6,A577908064,945.45
2023-07-29,Supermarkt 6,A901248058,755.26
2023-07-29,Supermarkt 6,A502744906,938.12
2023-07-29,Supermarkt 6,A428175671,611.18
2023-07-29,Supermarkt 6,A401829730,324.25
2023-07-29,Supermarkt 6,A795990421,389.13
2023-07-29,Supermarkt 6,A842813962,476.14
2023-07-29,Supermarkt 6,A858280858,540.71
2023-07-29,Supermarkt 6,A057188345,911.31
2023-07-29,Supermarkt 6,A370844032,668.7
2023-07-29,Supermarkt 6,A615548631,416.16
2023-07-29,Supermarkt 6,A788109666,1176.74
2023-07-29,Supermarkt 6,A443834257,837.97
2023-07-29,Supermarkt 6,A070236562,1177.09
2023-07-29,Supermarkt 6,A719609280,509.44
2023-07-29,Supermarkt 6,A760957598,985.79
2023-07-29,Supermarkt 6,A195934452,966.88
2023-07-29,Supermarkt 6,A431470276,928.8
2023-07-29,Supermarkt 6,A196351288,714.96
2023-07-29,Supermarkt 6,A440064773,444.39
2023-07-29,Supermarkt 6,A302066701,114.33
2023-07-29,Supermarkt 6,A386205094,11.67
2023-07-29,Supermarkt 6,A441032075,118.96
2023-07-29,Supermarkt 6,A466815911,692.74
2023-07-29,Supermarkt 6,A406253066,332.96
2023-07-29,Supermarkt 6,A822483184,723.34
2023-07-29,Supermarkt 6,A484628109,375.69
2023-07-29,Supermarkt 6,A096319128,523.61
2023-07-29,Supermarkt 6,A309161420,880.08
2023-07-29,Supermarkt 6,A708079024,129.95
2023-07-29,Supermarkt 6,A915048649,291.61
2023-07-29,Supermarkt 6,A119739307,1185.07
2023-07-29,Supermarkt 6,A166076933,1095.42
2023-07-29,Supermarkt 6,A689793331,705.75
2023-07-29,Supermarkt 6,A968963374,1023.34
2023-07-29,Supermarkt 6,A415633717,1183.73
2023-07-29,Supermarkt 6,A453190985,183.42
2023-07-29,Supermarkt 6,A389820286,1109.8
2023-07-29,Supermarkt 6,A639180066,315.99
2023-07-29,Supermarkt 6,A774527541,658.45
2023-07-29,Supermarkt 6,A415352287,1081.53
2023-07-29,Supermarkt 6,A391796759,205.95
2023-07-29,Supermarkt 6,A249604557,299.39
2023-07-29,Supermarkt 6,A759796414,980.32
2023-07-29,Supermarkt 6,A879683144,14.7
2023-07-29,Supermarkt 6,A837431902,336.01
2023-07-29,Supermarkt 6,A718262438,773.55
2023-07-29,Supermarkt 6,A256112302,557.1
2023-07-29,Supermarkt 6,A932791455,193.55
2023-07-29,Supermarkt 6,A204561996,521.45
2023-07-29,Supermarkt 6,A269162423,690.91
2023-07-29,Supermarkt 6,A161266261,1065.79
2023-07-29,Supermarkt 6,A462873388,391.12
2023-07-29,Supermarkt 6,A259269533,417.7
2023-07-29,Supermarkt 6,A100383009,421.97
2023-07-29,Supermarkt 6,A925803299,825.18
2023-07-29,Supermarkt 6,A281893127,661.37
2023-07-29,Supermarkt 6,A733020003,844.44
2023-07-29,Supermarkt 6,A285192310,732.79
2023-07-29,Supermarkt 6,A293518081,821.91
2023-07-29,Supermarkt 6,A407017321,259.22
2023-07-29,Supermarkt 6,A672934396,149.59
2023-07-29,Supermarkt 6,A861838247,692.01
2023-07-29,Supermarkt 6,A206963091,704.69
2023-07-29,Supermarkt 6,A545827736,158.53
2023-07-29,Supermarkt 6,A336626935,869.2
2023-07-29,Supermarkt 6,A783967271,705.65
2023-07-29,Supermarkt 6,A219566210,580.76
2023-07-29,Supermarkt 6,A692825854,828.95
