Datum,Supermarkt,Artikelnummer,Umsatz
2023-07-29,Supermarkt 1,A508436107,633.9
2023-07-29,Supermarkt 1,A494741731,11.08
2023-07-29,Supermarkt 1,A984047700,383.04
2023-07-29,Supermarkt 1,A686288763,905.8
2023-07-29,Supermarkt 1,A117653789,1111.84
2023-07-29,Supermarkt 1,A876634416,764.19
2023-07-29,Supermarkt 1,A444070196,153.82
2023-07-29,Supermarkt 1,A267759769,269.32
2023-07-29,Supermarkt 1,A244182817,430.93
2023-07-29,Supermarkt 1,A357205926,556.42
2023-07-29,Supermarkt 1,A799771723,178.61
2023-07-29,Supermarkt 1,A577908064,837.27
2023-07-29,Supermarkt 1,A901248058,428.99
2023-07-29,Supermarkt 1,A502744906,211.92
2023-07-29,Supermarkt 1,A428175671,10.63
2023-07-29,Supermarkt 1,A401829730,1100.21
2023-07-29,Supermarkt 1,A795990421,768.19
2023-07-29,Supermarkt 1,A842813962,937.27
2023-07-29,Supermarkt 1,A858280858,615.34
2023-07-29,Supermarkt 1,A057188345,712.48
2023-07-29,Supermarkt 1,A370844032,792.44
2023-07-29,Supermarkt 1,A615548631,987.39
2023-07-29,Supermarkt 1,A788109666,754.55
2023-07-29,Supermarkt 1,A443834257,980.05
2023-07-29,Supermarkt 1,A070236562,109.9
2023-07-29,Supermarkt 1,A719609280,950.91
2023-07-29,Supermarkt 1,A760957598,949.71
2023-07-29,Supermarkt 1,A195934452,533.47
2023-07-29,Supermarkt 1,A431470276,308.91
2023-07-29,Supermarkt 1,A196351288,636.95
2023-07-29,Supermarkt 1,A440064773,505.44
2023-07-29,Supermarkt 1,A302066701,225.01
2023-07-29,Supermarkt 1,A386205094,1087.26
2023-07-29,Supermarkt 1,A441032075,203.0
2023-07-29,Supermarkt 1,A466815911,799.95
2023-07-29,Supermarkt 1,A406253066,140.07
2023-07-29,Supermarkt 1,A822483184,157.84
2023-07-29,Supermarkt 1,A484628109,838.66
2023-07-29,Supermarkt 1,A096319128,886.39
2023-07-29,Supermarkt 1,A309161420,66.32
2023-07-29,Supermarkt 1,A708079024,115.82
2023-07-29,Supermarkt 1,A915048649,864.93
2023-07-29,Supermarkt 1,A119739307,507.77
2023-07-29,Supermarkt 1,A166076933,191.07
2023-07-29,Supermarkt 1,A689793331,702.85
2023-07-29,Supermarkt 1,A968963374,1186.81
2023-07-29,Supermarkt 1,A415633717,1120.94
2023-07-29,Supermarkt 1,A453190985,253.04
2023-07-29,Supermarkt 1,A389820286,800.75
2023-07-29,Supermarkt 1,A639180066,95.99
2023-07-29,Supermarkt 1,A774527541,1076.07
2023-07-29,Supermarkt 1,A415352287,174.22
2023-07-29,Supermarkt 1,A391796759,1053.37
2023-07-29,Supermarkt 1,A249604557,649.72
2023-07-29,Supermarkt 1,A759796414,81.24
2023-07-29,Supermarkt 1,A879683144,644.75
2023-07-29,Supermarkt 1,A837431902,395.45
2023-07-29,Supermarkt 1,A718262438,1065.83
2023-07-29,Supermarkt 1,A256112302,987.34
2023-07-29,Supermarkt 1,A932791455,1170.98
2023-07-29,Supermarkt 1,A204561996,1142.52
2023-07-29,Supermarkt 1,A269162423,8.33
2023-07-29,Supermarkt 1,A161266261,555.79
2023-07-29,Supermarkt 1,A462873388,959.42
2023-07-29,Supermarkt 1,A259269533,414.78
2023-07-29,Supermarkt 1,A100383009,408.28
2023-07-29,Supermarkt 1,A925803299,302.66
2023-07-29,Supermarkt 1,A281893127,1135.03
2023-07-29,Supermarkt 1,A733020003,884.72
2023-07-29,Supermarkt 1,A285192310,584.19
2023-07-29,Supermarkt 1,A293518081,790.73
2023-07-29,Supermarkt 1,A407017321,250.55
2023-07-29,Supermarkt 1,A672934396,906.17
2023-07-29,Supermarkt 1,A861838247,760.18
2023-07-29,Supermarkt 1,A206963091,993.71
2023-07-29,Supermarkt 1,A545827736,1135.05
2023-07-29,Supermarkt 1,A336626935,1075.0
2023-07-29,Supermarkt 1,A783967271,302.69
2023-07-29,Supermarkt 1,A219566210,309.67
2023-07-29,Supermarkt 1,A692825854,1033.08
2023-07-29,Supermarkt 1,A432623837,802.69
2023-07-29,Supermarkt 1,A271020056,548.37
2023-07-29,Supermarkt 1,A218706015,572.82
2023-07-29,Supermarkt 1,A647689258,181.54
2023-07-29,Supermarkt 1,A060525510,487.47
2023-07-29,Supermarkt 1,A970138619,11.86
2023-07-29,Supermarkt 1,A646289611,361.74
2023-07-29,Supermarkt 1,A936181898,628.64
2023-07-29,Supermarkt 1,A743950473,491.89
2023-07-29,Supermarkt 1,A661280904,350.71
2023-07-29,Supermarkt 1,A447441224,1197.61
2023-07-29,Supermarkt 1,A318969990,520.88
2023-07-29,Supermarkt 1,A347889922,573.94
2023-07-29,Supermarkt 1,A103882825,178.4
2023-07-29,Supermarkt 1,A209936447,518.98
2023-07-29,Supermarkt 1,A492130694,519.31
2023-07-29,Supermarkt 1,A257121278,880.81
2023-07-29,Supermarkt 1,A167270383,806.57
2023-07-29,Supermarkt 1,A554203473,526.23
2023-07-29,Supermarkt 1,A216470301,471.88
2023-07-29,Supermarkt 1,A015992600,241.82
2023-07-29,Supermarkt 1,A941664355,102.5
2023-07-29,Supermarkt 1,A908898659,327.12
2023-07-29,Supermarkt 1,A642959207,248.29
2023-07-29,Supermarkt 1,A190737868,1031.91
2023-07-29,Supermarkt 1,A665470491,692.86
2023-07-29,Supermarkt 1,A838124959,756.62
2023-07-29,Supermarkt 1,A971920912,812.82
2023-07-29,Supermarkt 1,A430394922,1060.31
2023-07-29,Supermarkt 1,A202790850,871.55
2023-07-29,Supermarkt 1,A789691095,560.68
2023-07-29,Supermarkt 1,A952833316,884.36
2023-07-29,Supermarkt 1,A869001989,309.23
2023-07-29,Supermarkt 1,A157008676,1109.23
2023-07-29,Supermarkt 1,A481336701,1166.49
2023-07-29,Supermarkt 1,A540577545,825.67
2023-07-29,Supermarkt 1,A638132714,674.68
2023-07-29,Supermarkt 1,A625701902,1095.17
2023-07-29,Supermarkt 1,A564797522,925.11
2023-07-29,Supermarkt 1,A502257203,279.94
2023-07-29,Supermarkt 1,A609657051,1064.21
2023-07-29,Supermarkt 1,A880401448,876.27
2023-07-29,Supermarkt 1,A956057291,12.09
2023-07-29,Supermarkt 1,A274376555,1168.64
2023-07-29,Supermarkt 1,A883464440,652.07
2023-07-29,Supermarkt 1,A032586403,461.12
2023-07-29,Supermarkt 1,A860770745,600.17
2023-07-29,Supermarkt 1,A192593344,917.57
2023-07-29,Supermarkt 1,A936988377,1096.15
2023-07-29,Supermarkt 1,A367809571,657.44
2023-07-29,Supermarkt 1,A154673786,946.3
2023-07-29,Supermarkt 1,A573123389,15.99
2023-07-29,Supermarkt 1,A659752955,195.21
2023-07-29,Supermarkt 1,A120705759,718.78
2023-07-29,Supermarkt 1,A533393063,474.45
2023-07-29,Supermarkt 1,A210781251,221.62
