Datum,Supermarkt,Artikelnummer,Umsatz
2023-07-29,Supermarkt 10,A508436107,1027.31
2023-07-29,Supermarkt 10,A494741731,146.09
2023-07-29,Supermarkt 10,A984047700,232.15
2023-07-29,Supermarkt 10,A686288763,304.45
2023-07-29,Supermarkt 10,A117653789,60.92
2023-07-29,Supermarkt 10,A876634416,540.01
2023-07-29,Supermarkt 10,A444070196,1019.75
2023-07-29,Supermarkt 10,A267759769,470.74
2023-07-29,Supermarkt 10,A244182817,306.5
2023-07-29,Supermarkt 10,A357205926,720.04
2023-07-29,Supermarkt 10,A799771723,914.74
2023-07-29,Supermarkt 10,A577908064,32.39
2023-07-29,Supermarkt 10,A901248058,77.62
2023-07-29,Supermarkt 10,A502744906,1148.43
2023-07-29,Supermarkt 10,A428175671,969.95
2023-07-29,Supermarkt 10,A401829730,1155.66
2023-07-29,Supermarkt 10,A795990421,619.57
2023-07-29,Supermarkt 10,A842813962,487.61
2023-07-29,Supermarkt 10,A858280858,715.0
2023-07-29,Supermarkt 10,A057188345,1140.9
2023-07-29,Supermarkt 10,A370844032,394.2
2023-07-29,Supermarkt 10,A615548631,220.57
2023-07-29,Supermarkt 10,A788109666,99.33
2023-07-29,Supermarkt 10,A443834257,877.9
2023-07-29,Supermarkt 10,A070236562,773.58
2023-07-29,Supermarkt 10,A719609280,237.04
2023-07-29,Supermarkt 10,A760957598,604.5
2023-07-29,Supermarkt 10,A195934452,892.77
2023-07-29,Supermarkt 10,A431470276,682.17
2023-07-29,Supermarkt 10,A196351288,812.11
2023-07-29,Supermarkt 10,A440064773,176.78
2023-07-29,Supermarkt 10,A302066701,90.81
2023-07-29,Supermarkt 10,A386205094,1062.56
2023-07-29,Supermarkt 10,A441032075,44.97
2023-07-29,Supermarkt 10,A466815911,141.96
2023-07-29,Supermarkt 10,A406253066,835.66
2023-07-29,Supermarkt 10,A822483184,452.82
2023-07-29,Supermarkt 10,A484628109,890.9
2023-07-29,Supermarkt 10,A096319128,599.6
2023-07-29,Supermarkt 10,A309161420,975.33
2023-07-29,Supermarkt 10,A708079024,1193.61
2023-07-29,Supermarkt 10,A915048649,1056.13
2023-07-29,Supermarkt 10,A119739307,220.63
2023-07-29,Supermarkt 10,A166076933,1116.17
2023-07-29,Supermarkt 10,A689793331,388.51
2023-07-29,Supermarkt 10,A968963374,149.19
2023-07-29,Supermarkt 10,A415633717,755.88
2023-07-29,Supermarkt 10,A453190985,1054.59
2023-07-29,Supermarkt 10,A389820286,252.12
2023-07-29,Supermarkt 10,A639180066,757.25
2023-07-29,Supermarkt 10,A774527541,889.85
2023-07-29,Supermarkt 10,A415352287,623.44
2023-07-29,Supermarkt 10,A391796759,150.16
2023-07-29,Supermarkt 10,A249604557,602.28
2023-07-29,Supermarkt 10,A759796414,318.9
2023-07-29,Supermarkt 10,A879683144,416.94
2023-07-29,Supermarkt 10,A837431902,72.97
2023-07-29,Supermarkt 10,A718262438,295.2
2023-07-29,Supermarkt 10,A256112302,639.71
2023-07-29,Supermarkt 10,A932791455,338.88
2023-07-29,Supermarkt 10,A204561996,31.42
2023-07-29,Supermarkt 10,A269162423,48.14
2023-07-29,Supermarkt 10,A161266261,457.84
2023-07-29,Supermarkt 10,A462873388,249.44
2023-07-29,Supermarkt 10,A259269533,1164.35
2023-07-29,Supermarkt 10,A100383009,171.34
2023-07-29,Supermarkt 10,A925803299,294.11
2023-07-29,Supermarkt 10,A281893127,440.83
2023-07-29,Supermarkt 10,A733020003,300.86
2023-07-29,Supermarkt 10,A285192310,1147.43
2023-07-29,Supermarkt 10,A293518081,1098.84
2023-07-29,Supermarkt 10,A407017321,797.51
2023-07-29,Supermarkt 10,A672934396,702.26
2023-07-29,Supermarkt 10,A861838247,660.94
2023-07-29,Supermarkt 10,A206963091,142.37
2023-07-29,Supermarkt 10,A545827736,258.92
2023-07-29,Supermarkt 10,A336626935,1154.42
