Datum,Supermarkt,Artikelnummer,Umsatz
2023-07-29,Supermarkt 2,A508436107,524.62
2023-07-29,Supermarkt 2,A494741731,828.19
2023-07-29,Supermarkt 2,A984047700,1067.65
2023-07-29,Supermarkt 2,A686288763,1002.78
2023-07-29,Supermarkt 2,A117653789,1014.57
2023-07-29,Supermarkt 2,A876634416,1180.28
2023-07-29,Supermarkt 2,A444070196,467.89
2023-07-29,Supermarkt 2,A267759769,758.47
2023-07-29,Supermarkt 2,A244182817,42.84
2023-07-29,Supermarkt 2,A357205926,1058.36
2023-07-29,Supermarkt 2,A799771723,1125.18
2023-07-29,Supermarkt 2,A577908064,528.32
2023-07-29,Supermarkt 2,A901248058,77.66
2023-07-29,Supermarkt 2,A502744906,42.21
2023-07-29,Supermarkt 2,A428175671,104.36
2023-07-29,Supermarkt 2,A401829730,867.03
2023-07-29,Supermarkt 2,A795990421,1068.26
2023-07-29,Supermarkt 2,A842813962,632.99
2023-07-29,Supermarkt 2,A858280858,803.48
2023-07-29,Supermarkt 2,A057188345,663.92
2023-07-29,Supermarkt 2,A370844032,386.24
2023-07-29,Supermarkt 2,A615548631,117.99
2023-07-29,Supermarkt 2,A788109666,186.24
2023-07-29,Supermarkt 2,A443834257,1050.25
2023-07-29,Supermarkt 2,A070236562,209.45
2023-07-29,Supermarkt 2,A719609280,280.52
2023-07-29,Supermarkt 2,A760957598,1064.71
2023-07-29,Supermarkt 2,A195934452,776.58
2023-07-29,Supermarkt 2,A431470276,326.44
2023-07-29,Supermarkt 2,A196351288,1106.45
2023-07-29,Supermarkt 2,A440064773,949.02
2023-07-29,Supermarkt 2,A302066701,850.22
2023-07-29,Supermarkt 2,A386205094,513.56
2023-07-29,Supermarkt 2,A441032075,329.83
2023-07-29,Supermarkt 2,A466815911,630.52
2023-07-29,Supermarkt 2,A406253066,775.45
2023-07-29,Supermarkt 2,A822483184,890.74
2023-07-29,Supermarkt 2,A484628109,129.71
2023-07-29,Supermarkt 2,A096319128,932.62
2023-07-29,Supermarkt 2,A309161420,422.9
2023-07-29,Supermarkt 2,A708079024,442.95
2023-07-29,Supermarkt 2,A915048649,43.99
2023-07-29,Supermarkt 2,A119739307,424.56
2023-07-29,Supermarkt 2,A166076933,493.89
2023-07-29,Supermarkt 2,A689793331,173.24
2023-07-29,Supermarkt 2,A968963374,872.95
2023-07-29,Supermarkt 2,A415633717,970.48
2023-07-29,Supermarkt 2,A453190985,156.82
2023-07-29,Supermarkt 2,A389820286,107.84
2023-07-29,Supermarkt 2,A639180066,1146.78
2023-07-29,Supermarkt 2,A774527541,191.62
2023-07-29,Supermarkt 2,A415352287,528.35
2023-07-29,Supermarkt 2,A391796759,210.79
2023-07-29,Supermarkt 2,A249604557,512.74
2023-07-29,Supermarkt 2,A759796414,1058.65
2023-07-29,Supermarkt 2,A879683144,1153.42
2023-07-29,Supermarkt 2,A837431902,1096.48
2023-07-29,Supermarkt 2,A718262438,685.56
