Datum,Supermarkt,Artikelnummer,Umsatz
2023-07-29,Supermarkt 5,A508436107,878.39
2023-07-29,Supermarkt 5,A494741731,184.29
2023-07-29,Supermarkt 5,A984047700,139.36
2023-07-29,Supermarkt 5,A686288763,574.88
2023-07-29,Supermarkt 5,A117653789,523.01
2023-07-29,Supermarkt 5,A876634416,258.65
2023-07-29,Supermarkt 5,A444070196,170.72
2023-07-29,Supermarkt 5,A267759769,398.26
2023-07-29,Supermarkt 5,A244182817,159.3
2023-07-29,Supermarkt 5,A357205926,712.8
2023-07-29,Supermarkt 5,A799771723,272.81
2023-07-29,Supermarkt 5,A577908064,846.18
2023-07-29,Supermarkt 5,A901248058,842.06
2023-07-29,Supermarkt 5,A502744906,283.51
2023-07-29,Supermarkt 5,A428175671,477.28
2023-07-29,Supermarkt 5,A401829730,425.44
2023-07-29,Supermarkt 5,A795990421,905.64
2023-07-29,Supermarkt 5,A842813962,864.15
2023-07-29,Supermarkt 5,A858280858,578.9
2023-07-29,Supermarkt 5,A057188345,525.17
2023-07-29,Supermarkt 5,A370844032,726.27
2023-07-29,Supermarkt 5,A615548631,290.74
2023-07-29,Supermarkt 5,A788109666,52.56
2023-07-29,Supermarkt 5,A443834257,438.76
2023-07-29,Supermarkt 5,A070236562,196.22
2023-07-29,Supermarkt 5,A719609280,474.61
2023-07-29,Supermarkt 5,A760957598,313.79
2023-07-29,Supermarkt 5,A195934452,457.93
2023-07-29,Supermarkt 5,A431470276,931.71
2023-07-29,Supermarkt 5,A196351288,452.08
2023-07-29,Supermarkt 5,A440064773,560.93
2023-07-29,Supermarkt 5,A302066701,209.31
2023-07-29,Supermarkt 5,A386205094,975.72
2023-07-29,Supermarkt 5,A441032075,115.97
2023-07-29,Supermarkt 5,A466815911,290.18
2023-07-29,Supermarkt 5,A406253066,14.0
2023-07-29,Supermarkt 5,A822483184,203.36
2023-07-29,Supermarkt 5,A484628109,257.41
2023-07-29,Supermarkt 5,A096319128,993.85
2023-07-29,Supermarkt 5,A309161420,159.79
2023-07-29,Supermarkt 5,A708079024,591.03
2023-07-29,Supermarkt 5,A915048649,1055.32
2023-07-29,Supermarkt 5,A119739307,328.95
2023-07-29,Supermarkt 5,A166076933,888.04
2023-07-29,Supermarkt 5,A689793331,150.34
2023-07-29,Supermarkt 5,A968963374,669.44
2023-07-29,Supermarkt 5,A415633717,1197.28
2023-07-29,Supermarkt 5,A453190985,630.01
2023-07-29,Supermarkt 5,A389820286,747.57
2023-07-29,Supermarkt 5,A639180066,1123.74
2023-07-29,Supermarkt 5,A774527541,670.3
2023-07-29,Supermarkt 5,A415352287,1174.56
2023-07-29,Supermarkt 5,A391796759,558.58
2023-07-29,Supermarkt 5,A249604557,405.97
2023-07-29,Supermarkt 5,A759796414,46.84
2023-07-29,Supermarkt 5,A879683144,328.67
2023-07-29,Supermarkt 5,A837431902,585.55
2023-07-29,Supermarkt 5,A718262438,1086.23
2023-07-29,Supermarkt 5,A256112302,953.29
2023-07-29,Supermarkt 5,A932791455,945.99
2023-07-29,Supermarkt 5,A204561996,664.44
2023-07-29,Supermarkt 5,A269162423,26.35
2023-07-29,Supermarkt 5,A161266261,612.88
