Datum,Supermarkt,Artikelnummer,Umsatz
2023-07-29,Supermarkt 3,A508436107,851.49
2023-07-29,Supermarkt 3,A494741731,774.17
2023-07-29,Supermarkt 3,A984047700,9.66
2023-07-29,Supermarkt 3,A686288763,789.63
2023-07-29,Supermarkt 3,A117653789,230.16
2023-07-29,Supermarkt 3,A876634416,1197.4
2023-07-29,Supermarkt 3,A444070196,590.85
2023-07-29,Supermarkt 3,A267759769,377.17
2023-07-29,Supermarkt 3,A244182817,329.04
2023-07-29,Supermarkt 3,A357205926,647.82
2023-07-29,Supermarkt 3,A799771723,1059.18
2023-07-29,Supermarkt 3,A577908064,713.84
2023-07-29,Supermarkt 3,A901248058,613.53
2023-07-29,Supermarkt 3,A502744906,931.99
2023-07-29,Supermarkt 3,A428175671,1106.5
2023-07-29,Supermarkt 3,A401829730,876.73
2023-07-29,Supermarkt 3,A795990421,89.15
2023-07-29,Supermarkt 3,A842813962,85.79
2023-07-29,Supermarkt 3,A858280858,909.69
2023-07-29,Supermarkt 3,A057188345,465.73
2023-07-29,Supermarkt 3,A370844032,321.33
2023-07-29,Supermarkt 3,A615548631,472.39
2023-07-29,Supermarkt 3,A788109666,559.53
2023-07-29,Supermarkt 3,A443834257,273.42
2023-07-29,Supermarkt 3,A070236562,160.23
2023-07-29,Supermarkt 3,A719609280,423.85
2023-07-29,Supermarkt 3,A760957598,813.89
2023-07-29,Supermarkt 3,A195934452,303.07
2023-07-29,Supermarkt 3,A431470276,447.04
2023-07-29,Supermarkt 3,A196351288,872.94
2023-07-29,Supermarkt 3,A440064773,697.45
2023-07-29,Supermarkt 3,A302066701,1017.93
2023-07-29,Supermarkt 3,A386205094,359.69
2023-07-29,Supermarkt 3,A441032075,605.87
2023-07-29,Supermarkt 3,A466815911,392.17
2023-07-29,Supermarkt 3,A406253066,595.49
2023-07-29,Supermarkt 3,A822483184,233.7
2023-07-29,Supermarkt 3,A484628109,779.36
2023-07-29,Supermarkt 3,A096319128,269.47
2023-07-29,Supermarkt 3,A309161420,583.85
2023-07-29,Supermarkt 3,A708079024,108.12
2023-07-29,Supermarkt 3,A915048649,15.99
2023-07-29,Supermarkt 3,A119739307,1102.2
2023-07-29,Supermarkt 3,A166076933,769.99
2023-07-29,Supermarkt 3,A689793331,1130.55
2023-07-29,Supermarkt 3,A968963374,803.19
2023-07-29,Supermarkt 3,A415633717,1111.25
2023-07-29,Supermarkt 3,A453190985,1038.29
2023-07-29,Supermarkt 3,A389820286,519.42
2023-07-29,Supermarkt 3,A639180066,370.52
2023-07-29,Supermarkt 3,A774527541,704.31
2023-07-29,Supermarkt 3,A415352287,25.52
2023-07-29,Supermarkt 3,A391796759,149.69
2023-07-29,Supermarkt 3,A249604557,964.82
2023-07-29,Supermarkt 3,A759796414,956.65
2023-07-29,Supermarkt 3,A879683144,656.71
2023-07-29,Supermarkt 3,A837431902,494.2
2023-07-29,Supermarkt 3,A718262438,985.46
2023-07-29,Supermarkt 3,A256112302,540.0
2023-07-29,Supermarkt 3,A932791455,997.11
2023-07-29,Supermarkt 3,A204561996,1087.91
2023-07-29,Supermarkt 3,A269162423,60.06
2023-07-29,Supermarkt 3,A161266261,840.13
2023-07-29,Supermarkt 3,A462873388,464.64
2023-07-29,Supermarkt 3,A259269533,931.78
2023-07-29,Supermarkt 3,A100383009,528.99
2023-07-29,Supermarkt 3,A925803299,914.85
2023-07-29,Supermarkt 3,A281893127,997.55
2023-07-29,Supermarkt 3,A733020003,990.06
2023-07-29,Supermarkt 3,A285192310,108.96
2023-07-29,Supermarkt 3,A293518081,988.79
2023-07-29,Supermarkt 3,A407017321,548.37
2023-07-29,Supermarkt 3,A672934396,686.03
2023-07-29,Supermarkt 3,A861838247,853.85
2023-07-29,Supermarkt 3,A206963091,457.28
2023-07-29,Supermarkt 3,A545827736,576.99
2023-07-29,Supermarkt 3,A336626935,240.51
2023-07-29,Supermarkt 3,A783967271,533.23
2023-07-29,Supermarkt 3,A219566210,1061.33
2023-07-29,Supermarkt 3,A692825854,642.1
2023-07-29,Supermarkt 3,A432623837,666.81
2023-07-29,Supermarkt 3,A271020056,831.87
2023-07-29,Supermarkt 3,A218706015,713.97
2023-07-29,Supermarkt 3,A647689258,237.2
2023-07-29,Supermarkt 3,A060525510,84.98
2023-07-29,Supermarkt 3,A970138619,1191.81
2023-07-29,Supermarkt 3,A646289611,683.48
2023-07-29,Supermarkt 3,A936181898,871.81
2023-07-29,Supermarkt 3,A743950473,221.01
2023-07-29,Supermarkt 3,A661280904,1181.68
2023-07-29,Supermarkt 3,A447441224,811.02
2023-07-29,Supermarkt 3,A318969990,413.19
2023-07-29,Supermarkt 3,A347889922,361.76
2023-07-29,Supermarkt 3,A103882825,475.28
2023-07-29,Supermarkt 3,A209936447,379.66
2023-07-29,Supermarkt 3,A492130694,576.77
2023-07-29,Supermarkt 3,A257121278,255.01
2023-07-29,Supermarkt 3,A167270383,838.02
2023-07-29,Supermarkt 3,A554203473,246.11
2023-07-29,Supermarkt 3,A216470301,421.89
2023-07-29,Supermarkt 3,A015992600,1177.71
2023-07-29,Supermarkt 3,A941664355,853.33
2023-07-29,Supermarkt 3,A908898659,48.47
2023-07-29,Supermarkt 3,A642959207,265.87
2023-07-29,Supermarkt 3,A190737868,838.16
2023-07-29,Supermarkt 3,A665470491,920.82
2023-07-29,Supermarkt 3,A838124959,945.94
2023-07-29,Supermarkt 3,A971920912,1124.49
2023-07-29,Supermarkt 3,A430394922,343.5
2023-07-29,Supermarkt 3,A202790850,475.15
2023-07-29,Supermarkt 3,A789691095,163.35
2023-07-29,Supermarkt 3,A952833316,376.22
2023-07-29,Supermarkt 3,A869001989,202.02
2023-07-29,Supermarkt 3,A157008676,14.43
2023-07-29,Supermarkt 3,A481336701,886.63
2023-07-29,Supermarkt 3,A540577545,130.81
2023-07-29,Supermarkt 3,A638132714,147.92
2023-07-29,Supermarkt 3,A625701902,503.95
2023-07-29,Supermarkt 3,A564797522,736.36
2023-07-29,Supermarkt 3,A502257203,891.59
2023-07-29,Supermarkt 3,A609657051,129.82
2023-07-29,Supermarkt 3,A880401448,947.48
2023-07-29,Supermarkt 3,A956057291,551.84
2023-07-29,Supermarkt 3,A274376555,1022.67
2023-07-29,Supermarkt 3,A883464440,326.81
2023-07-29,Supermarkt 3,A032586403,397.61
2023-07-29,Supermarkt 3,A860770745,263.22
2023-07-29,Supermarkt 3,A192593344,887.44
2023-07-29,Supermarkt 3,A936988377,515.43
2023-07-29,Supermarkt 3,A367809571,1180.62
2023-07-29,Supermarkt 3,A154673786,303.84
2023-07-29,Supermarkt 3,A573123389,984.38
2023-07-29,Supermarkt 3,A659752955,884.57
2023-07-29,Supermarkt 3,A120705759,1073.29
2023-07-29,Supermarkt 3,A533393063,586.71
2023-07-29,Supermarkt 3,A210781251,960.18
2023-07-29,Supermarkt 3,A286107156,790.41
2023-07-29,Supermarkt 3,A903355948,955.34
2023-07-29,Supermarkt 3,A003230639,494.42
2023-07-29,Supermarkt 3,A472646255,665.27
2023-07-29,Supermarkt 3,A506087161,439.87
2023-07-29,Supermarkt 3,A923747155,958.44
2023-07-29,Supermarkt 3,A999051936,787.13
2023-07-29,Supermarkt 3,A215066418,433.25
2023-07-29,Supermarkt 3,A310750042,190.75
2023-07-29,Supermarkt 3,A277788007,903.4
2023-07-29,Supermarkt 3,A480329290,33.61
2023-07-29,Supermarkt 3,A726425454,886.58
2023-07-29,Supermarkt 3,A089319967,270.34
2023-07-29,Supermarkt 3,A772064371,732.06
2023-07-29,Supermarkt 3,A499199706,718.63
2023-07-29,Supermarkt 3,A163515916,206.83
2023-07-29,Supermarkt 3,A688115514,356.26
2023-07-29,Supermarkt 3,A591306683,266.24
2023-07-29,Supermarkt 3,A816122182,986.37
2023-07-29,Supermarkt 3,A565203560,946.15
2023-07-29,Supermarkt 3,A651549678,581.14
2023-07-29,Supermarkt 3,A297970815,793.32
2023-07-29,Supermarkt 3,A628875519,850.07
2023-07-29,Supermarkt 3,A682002108,861.69
2023-07-29,Supermarkt 3,A612437288,1154.19
2023-07-29,Supermarkt 3,A911689206,1094.31
2023-07-29,Supermarkt 3,A858681613,236.23
2023-07-29,Supermarkt 3,A192311666,802.88
2023-07-29,Supermarkt 3,A131098593,40.52
2023-07-29,Supermarkt 3,A227233465,470.57
2023-07-29,Supermarkt 3,A194551737,156.5
2023-07-29,Supermarkt 3,A502100964,942.14
2023-07-29,Supermarkt 3,A655558942,406.19
2023-07-29,Supermarkt 3,A291558880,992.6
2023-07-29,Supermarkt 3,A189025788,503.13
2023-07-29,Supermarkt 3,A918926482,135.85
2023-07-29,Supermarkt 3,A925024236,702.44
2023-07-29,Supermarkt 3,A972702809,110.61
2023-07-29,Supermarkt 3,A263998349,423.54
2023-07-29,Supermarkt 3,A748685023,633.81
2023-07-29,Supermarkt 3,A645860259,500.29
2023-07-29,Supermarkt 3,A389120771,524.97
2023-07-29,Supermarkt 3,A753883151,539.54
2023-07-29,Supermarkt 3,A872935781,108.87
2023-07-29,Supermarkt 3,A868317939,688.44
2023-07-29,Supermarkt 3,A252916767,1144.54
2023-07-29,Supermarkt 3,A386086695,1008.73
2023-07-29,Supermarkt 3,A817818516,81.66
2023-07-29,Supermarkt 3,A669505911,575.35
2023-07-29,Supermarkt 3,A473609569,1059.86
2023-07-29,Supermarkt 3,A550171681,307.57
2023-07-29,Supermarkt 3,A625343472,433.56
2023-07-29,Supermarkt 3,A083655087,574.85
2023-07-29,Supermarkt 3,A812415918,816.63
2023-07-29,Supermarkt 3,A668549402,1037.52
2023-07-29,Supermarkt 3,A096923443,563.24
2023-07-29,Supermarkt 3,A409715350,794.69
2023-07-29,Supermarkt 3,A354910556,30.34
2023-07-29,Supermarkt 3,A742411969,214.78
2023-07-29,Supermarkt 3,A654987724,880.27
2023-07-29,Supermarkt 3,A896705263,378.9
2023-07-29,Supermarkt 3,A646348818,419.16
2023-07-29,Supermarkt 3,A999836824,533.1
2023-07-29,Supermarkt 3,A607533685,726.16
2023-07-29,Supermarkt 3,A111347135,998.89
2023-07-29,Supermarkt 3,A041210510,663.54
2023-07-29,Supermarkt 3,A041903818,541.94
2023-07-29,Supermarkt 3,A412451698,952.16
2023-07-29,Supermarkt 3,A396460306,358.21
2023-07-29,Supermarkt 3,A419120732,406.02
2023-07-29,Supermarkt 3,A751246902,265.85
2023-07-29,Supermarkt 3,A334081849,7.84
2023-07-29,Supermarkt 3,A001581028,186.68
2023-07-29,Supermarkt 3,A700407960,517.27
2023-07-29,Supermarkt 3,A815782616,451.83
2023-07-29,Supermarkt 3,A549045120,486.52
2023-07-29,Supermarkt 3,A423722691,853.29
2023-07-29,Supermarkt 3,A136466027,824.49
2023-07-29,Supermarkt 3,A378266150,268.46
2023-07-29,Supermarkt 3,A999347708,1109.93
2023-07-29,Supermarkt 3,A019265800,386.77
2023-07-29,Supermarkt 3,A146504390,335.81
2023-07-29,Supermarkt 3,A989981183,13.23
2023-07-29,Supermarkt 3,A330327872,1090.46
2023-07-29,Supermarkt 3,A870915361,414.85
2023-07-29,Supermarkt 3,A259454150,234.2
2023-07-29,Supermarkt 3,A372068692,300.17
2023-07-29,Supermarkt 3,A374434117,149.68
2023-07-29,Supermarkt 3,A514866963,42.82
2023-07-29,Supermarkt 3,A723537068,226.85
2023-07-29,Supermarkt 3,A532548198,550.96
2023-07-29,Supermarkt 3,A100730616,573.9
2023-07-29,Supermarkt 3,A326808827,1087.78
2023-07-29,Supermarkt 3,A255847604,456.92
2023-07-29,Supermarkt 3,A255193123,1106.24
2023-07-29,Supermarkt 3,A646517298,412.94
2023-07-29,Supermarkt 3,A318938704,794.03
2023-07-29,Supermarkt 3,A054318164,812.72
2023-07-29,Supermarkt 3,A318608643,384.24
